name,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Opera House,Cigarettes After Sex,"ambient pop, dream pop, el paso indie, shoegaze",0.367,0.292,5,-14.146,1,0.0348,0.726,0.832,0.0971,0.0674,115.337,365150,4
Those Eyes,New West,toronto indie,0.594,0.348,4,-8.297,1,0.0285,0.709,2.12e-05,0.317,0.248,120.048,220750,3
Sweet,Cigarettes After Sex,"ambient pop, dream pop, el paso indie, shoegaze",0.449,0.51,6,-9.075,1,0.0278,0.351,0.761,0.139,0.115,96.425,292110,4
Astronomy,Conan Gray,"bedroom pop, pop, pov: indie",0.474,0.343,4,-8.571,0,0.027,0.578,2.65e-05,0.305,0.152,145.115,243907,3
Sparks,Coldplay,"permanent wave, pop",0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,227093,3
Winning Speech,Karan Aujla,"desi hip hop, punjabi pop",0.461,0.78,11,-5.004,0,0.363,0.128,0.0,0.181,0.448,171.285,227442,4
IDK HOW,Karan Aujla,"desi hip hop, punjabi pop",0.464,0.676,10,-6.582,0,0.183,0.219,0.0,0.146,0.213,83.918,175556,1
Jee Ni Lagda,Karan Aujla,"desi hip hop, punjabi pop",0.785,0.617,3,-7.01,0,0.192,0.338,0.0,0.13,0.907,93.005,139355,4
ANTIDOTE,Karan Aujla,"desi hip hop, punjabi pop",0.669,0.683,8,-5.581,0,0.118,0.0187,0.0,0.0536,0.726,96.099,187333,4
On Top,Karan Aujla,"desi hip hop, punjabi pop",0.831,0.75,10,-5.42,0,0.153,0.0188,0.0,0.111,0.662,139.979,183429,4
Admirin' You (feat. Preston Pablo),Karan Aujla,"desi hip hop, punjabi pop",0.756,0.664,1,-6.227,1,0.0851,0.0935,0.0,0.104,0.675,96.018,214750,4
52 Bars,Karan Aujla,"desi hip hop, punjabi pop",0.449,0.779,1,-3.321,0,0.205,0.000898,0.0,0.389,0.433,115.231,214024,3
Take It Easy,Karan Aujla,"desi hip hop, punjabi pop",0.64,0.707,1,-4.803,1,0.0541,0.144,0.0,0.399,0.411,82.973,210361,4
Born to Shine,Diljit Dosanjh,"filmi, modern bollywood, punjabi pop",0.762,0.826,6,-4.339,0,0.0778,0.356,0.0,0.324,0.667,89.985,213333,4
Jatt Vailly,Diljit Dosanjh,"filmi, modern bollywood, punjabi pop",0.868,0.523,7,-7.487,1,0.058,0.052,1.36e-05,0.22,0.799,98.038,151990,4
Lover,Diljit Dosanjh,"filmi, modern bollywood, punjabi pop",0.827,0.587,9,-5.531,0,0.113,0.203,0.0,0.0727,0.774,119.936,190000,4
Lalkara,Diljit Dosanjh,"filmi, modern bollywood, punjabi pop",0.85,0.557,0,-4.503,0,0.0431,0.0365,2.08e-06,0.131,0.468,96.99,160500,4
G.O.A.T.,Diljit Dosanjh,"filmi, modern bollywood, punjabi pop",0.544,0.917,1,-3.403,0,0.259,0.00313,0.0,0.26,0.686,176.068,223636,4
Vibe,Diljit Dosanjh,"filmi, modern bollywood, punjabi pop",0.706,0.632,1,-7.172,1,0.0705,0.00713,0.0,0.129,0.625,87.993,155250,4
Softly,Karan Aujla,"desi hip hop, punjabi pop",0.735,0.564,8,-7.786,1,0.204,0.191,0.0,0.0791,0.902,92.986,155161,4
BTBT (feat. DeVita),B.I,k-pop,0.763,0.663,9,-6.928,0,0.183,0.321,0.0,0.115,0.496,109.979,219550,4
Typa Girl,BLACKPINK,"k-pop, k-pop girl group, pop",0.918,0.585,7,-7.781,1,0.0889,0.0627,0.0,0.624,0.519,131.966,179173,4
Still With You,Jung Kook,k-pop,0.529,0.469,1,-6.967,0,0.0358,0.0899,1.53e-05,0.831,0.344,87.864,239906,4
Nobody Knows,KISS OF LIFE,"5th gen k-pop, k-pop girl group",0.655,0.646,7,-4.322,1,0.116,0.278,0.0,0.156,0.927,90.055,195960,4
Super Lady,(G)I-DLE,k-pop girl group,0.795,0.869,4,-4.456,0,0.116,0.0927,0.0,0.109,0.525,121.941,152187,4
Slide (feat. Frank Ocean & Migos),Calvin Harris,"dance pop, edm, electro house, house, pop, progressive house, uk dance",0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,230813,4
Swim,Chase Atlantic,alternative r&b,0.666,0.542,8,-6.429,1,0.0392,0.27,0.0,0.0765,0.0771,120.134,228787,4
Yeh Fitoor Mera,Arijit Singh,"filmi, modern bollywood",0.45,0.42,4,-8.92,1,0.0272,0.386,0.000106,0.11,0.201,163.749,283070,3
Guzarish,Javed Ali,"desi pop, filmi, modern bollywood",0.595,0.624,9,-10.943,0,0.0603,0.0925,0.0,0.114,0.647,170.001,327030,4
Jiyein Kyun,Pritam,"filmi, indian instrumental, modern bollywood",0.393,0.609,4,-5.954,1,0.0415,0.0558,2.22e-06,0.107,0.347,71.377,264963,4
"Soni Soni (From ""Ishq Vishk Rebound"")",Darshan Raval,"desi pop, filmi, gujarati pop, modern bollywood",0.803,0.694,8,-7.83,0,0.0527,0.551,0.000626,0.128,0.484,108.035,176875,4
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz,desi pop,0.763,0.587,8,-8.299,0,0.0381,0.358,6.03e-06,0.13,0.794,106.977,171147,4
Ayy Macarena,Tyga,"hip hop, pop rap, rap, southern hip hop, trap",0.816,0.629,2,-5.568,1,0.226,0.133,0.0,0.0692,0.714,96.493,131607,4
Chanel,Frank Ocean,"lgbtq+ hip hop, neo soul",0.776,0.503,0,-5.732,0,0.237,0.874,0.0,0.112,0.473,110.134,210285,4
Papi Chulo,Octavian,"afroswing, london rap, uk alternative hip hop, uk hip hop",0.866,0.563,6,-6.965,0,0.102,0.187,0.0,0.0888,0.309,127.905,161668,4
The Take (feat. Chris Brown),Tory Lanez,"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap",0.464,0.547,7,-8.137,0,0.339,0.0511,0.0,0.155,0.423,67.003,221492,4
POPSTAR (feat. Drake),DJ Khaled,"hip hop, miami hip hop, pop rap, rap",0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071,200221,4
Skechers,DripReport,viral rap,0.903,0.327,1,-9.727,1,0.0877,0.26,0.011,0.108,0.274,100.008,106000,4
Breaking Me,Topic,"german dance, pop dance, pop edm, uk dance",0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,166794,4
Boyfriend,Dove Cameron,pop,0.345,0.612,7,-6.543,0,0.0608,0.232,0.0,0.194,0.232,179.773,153000,3
ROXANNE,Arizona Zervas,"indie pop rap, pop rap, rhode island rap",0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,163636,5
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,lgbtq+ hip hop,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,212000,4
MONTERO (Call Me By Your Name),Lil Nas X,lgbtq+ hip hop,0.61,0.508,8,-6.682,0,0.152,0.297,0.0,0.384,0.758,178.818,137876,4
Mood (feat. iann dior),24kGoldn,"cali rap, pop rap",0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989,140526,4
Attention,Charlie Puth,"pop, viral pop",0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,208787,4
No Lie,Sean Paul,"dance pop, dancehall, pop, pop rap",0.742,0.882,7,-2.862,1,0.117,0.0466,0.0,0.206,0.463,102.04,221176,4
New Rules,Dua Lipa,"dance pop, pop, uk pop",0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,209320,4
Gucci Flip Flops (feat. Lil Yachty),Bhad Bhabie,"trap queen, viral rap",0.82,0.603,8,-7.18,1,0.308,0.0351,0.0159,0.122,0.177,159.976,151851,4
Bestie (feat. Kodak Black),Bhad Bhabie,"trap queen, viral rap",0.908,0.625,1,-4.519,1,0.19,0.0741,0.0,0.182,0.613,101.993,140491,4
ROCKSTAR (feat. Roddy Ricch),DaBaby,"hip hop, north carolina hip hop, pop rap, rap, trap",0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,181733,4
Suicidal,YNW Melly,"melodic rap, rap",0.735,0.369,9,-9.682,0,0.0688,0.334,0.0,0.126,0.235,140.004,222997,4
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,"dfw rap, melodic rap, pop, rap",0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,157560,4
OUT WEST (feat. Young Thug),JACKBOYS,pop rap,0.802,0.591,8,-4.895,1,0.225,0.0104,0.0,0.196,0.309,139.864,157712,4
Like That (feat. Gucci Mane),Doja Cat,"dance pop, pop",0.879,0.498,4,-6.027,0,0.18,0.239,0.0,0.0967,0.405,106.044,163173,4
Lucid Dreams,Juice WRLD,"chicago rap, melodic rap, rap",0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,4
HIGHEST IN THE ROOM,Travis Scott,"rap, slap house",0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4
Old Town Road,Lil Nas X,lgbtq+ hip hop,0.907,0.53,1,-6.112,1,0.127,0.0578,2.23e-06,0.101,0.507,135.998,113000,4
Him & I,G-Eazy,"indie pop rap, oakland hip hop, pop rap, rap",0.589,0.731,2,-6.343,1,0.0868,0.0534,0.0,0.308,0.191,87.908,268867,4
Goosebumps - Remix,Travis Scott,"rap, slap house",0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.808,124.917,162803,4
One Dance,Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap",0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987,4
